"","company","product_code","product_number","address","city","country","name","product_category","full_address","company_philips","company_azko","company_van_houten","company_unilever","company_smartphone","company_tv","company_van_laptop","company_tablet"
"1","PHILIPS","p","5","Groningensingel 147","arnhem","the netherlands","dhr p. jansen","Smartphone","Groningensingel 147,arnhem,the netherlands",1,0,0,0,1,0,0,0
"2","PHILIPS","p","43","Groningensingel 148","arnhem","the netherlands","dhr p. hansen","Smartphone","Groningensingel 148,arnhem,the netherlands",1,0,0,0,1,0,0,0
"3","PHILIPS","x","3","Groningensingel 149","arnhem","the netherlands","dhr j. Gansen","Laptop","Groningensingel 149,arnhem,the netherlands",1,0,0,0,0,0,1,0
"4","PHILIPS","x","34","Groningensingel 150","arnhem","the netherlands","dhr p. mansen","Laptop","Groningensingel 150,arnhem,the netherlands",1,0,0,0,0,0,1,0
"5","PHILIPS","x","12","Groningensingel 151","arnhem","the netherlands","dhr p. fransen","Laptop","Groningensingel 151,arnhem,the netherlands",1,0,0,0,0,0,1,0
"6","PHILIPS","p","23","Groningensingel 152","arnhem","the netherlands","dhr p. franssen","Smartphone","Groningensingel 152,arnhem,the netherlands",1,0,0,0,1,0,0,0
"7","AKZO","v","43","Leeuwardenweg 178","arnhem","the netherlands","dhr p. bansen","TV","Leeuwardenweg 178,arnhem,the netherlands",0,0,0,0,0,1,0,0
"8","AKZO","v","12","Leeuwardenweg 179","arnhem","the netherlands","dhr p. vansen","TV","Leeuwardenweg 179,arnhem,the netherlands",0,0,0,0,0,1,0,0
"9","AKZO","x","5","Leeuwardenweg 180","arnhem","the netherlands","dhr p. bransen","Laptop","Leeuwardenweg 180,arnhem,the netherlands",0,0,0,0,0,0,1,0
"10","AKZO","p","34","Leeuwardenweg 181","arnhem","the netherlands","dhr p. janssen","Smartphone","Leeuwardenweg 181,arnhem,the netherlands",0,0,0,0,1,0,0,0
"11","AKZO","q","5","Leeuwardenweg 182","arnhem","the netherlands","mevr l.  rokken","Tablet","Leeuwardenweg 182,arnhem,the netherlands",0,0,0,0,0,0,0,1
"12","AKZO","q","9","Leeuwardenweg 183","arnhem","the netherlands","mevr l.  lokken","Tablet","Leeuwardenweg 183,arnhem,the netherlands",0,0,0,0,0,0,0,1
"13","AKZO","x","8","Leeuwardenweg 184","arnhem","the netherlands","mevr l.  mokken","Laptop","Leeuwardenweg 184,arnhem,the netherlands",0,0,0,0,0,0,1,0
"14","PHILIPS","p","56","Delfzijlstraat 54","arnhem","the netherlands","mevr l.  mokken","Smartphone","Delfzijlstraat 54,arnhem,the netherlands",1,0,0,0,1,0,0,0
"15","PHILIPS","v","67","Delfzijlstraat 55","arnhem","the netherlands","mevr l.  mokken","TV","Delfzijlstraat 55,arnhem,the netherlands",1,0,0,0,0,1,0,0
"16","PHILIPS","v","21","Delfzijlstraat 56","arnhem","the netherlands","mevr l.  mokken","TV","Delfzijlstraat 56,arnhem,the netherlands",1,0,0,0,0,1,0,0
"17","VAN HOUTEN","x","45","Delfzijlstraat 57","arnhem","the netherlands","mevr l.  sokken","Laptop","Delfzijlstraat 57,arnhem,the netherlands",0,0,1,0,0,0,1,0
"18","VAN HOUTEN","v","56","Delfzijlstraat 58","arnhem","the netherlands","mevr l.  wokken","TV","Delfzijlstraat 58,arnhem,the netherlands",0,0,1,0,0,1,0,0
"19","VAN HOUTEN","v","65","Delfzijlstraat 59","arnhem","the netherlands","mevr l.  kokken","TV","Delfzijlstraat 59,arnhem,the netherlands",0,0,1,0,0,1,0,0
"20","VAN HOUTEN","x","21","Delfzijlstraat 60","arnhem","the netherlands","mevr l.  Bokken","Laptop","Delfzijlstraat 60,arnhem,the netherlands",0,0,1,0,0,0,1,0
"21","VAN HOUTEN","p","23","Delfzijlstraat 61","arnhem","the netherlands","mevr l.  dokken","Smartphone","Delfzijlstraat 61,arnhem,the netherlands",0,0,1,0,1,0,0,0
"22","UNILEVER","x","3","Jourestraat 23","arnhem","the netherlands","mevr l.  gokken","Laptop","Jourestraat 23,arnhem,the netherlands",0,0,0,1,0,0,1,0
"23","UNILEVER","q","4","Jourestraat 24","arnhem","the netherlands","mevr l.  stokken","Tablet","Jourestraat 24,arnhem,the netherlands",0,0,0,1,0,0,0,1
"24","UNILEVER","q","6","Jourestraat 25","arnhem","the netherlands","mevr l.  rokken","Tablet","Jourestraat 25,arnhem,the netherlands",0,0,0,1,0,0,0,1
"25","UNILEVER","q","8","Jourestraat 26","arnhem","the netherlands","mevr l.  rokken","Tablet","Jourestraat 26,arnhem,the netherlands",0,0,0,1,0,0,0,1
